"Tectonic UNIT" "Area" "Subarea" "Strike of Si" "Mineral" "Type"
"45" "MULHACEN" "Sierra Nevada NW" "A" 131 "Grt" "core/simple"
"46" "MULHACEN" "Sierra Nevada NW" "A" 37 "Grt" "core/simple"
"47" "MULHACEN" "Sierra Nevada NW" "A" 113 "Grt" "core/simple"
"48" "MULHACEN" "Sierra Nevada NW" "A" 24 "Grt" "core/simple"
"49" "MULHACEN" "Sierra Nevada NW" "A" 128 "Grt" "core/simple"
"50" "MULHACEN" "Sierra Nevada NW" "A" 45 "Grt" "core/simple"
"51" "MULHACEN" "Sierra Nevada NW" "A" 11 "Grt" "core/simple"
"52" "MULHACEN" "Sierra Nevada NW" "A" 119 "Grt" "core/simple"
"53" "MULHACEN" "Sierra Nevada NW" "A" 173 "Grt" "core/simple"
"54" "MULHACEN" "Sierra Nevada NW" "A" 154 "Grt" "Truncation"
"55" "MULHACEN" "Sierra Nevada NW" "A" 67 "Grt" "Truncation"
"56" "MULHACEN" "Sierra Nevada NW" "A" 154 "Grt" "core/simple"
"57" "MULHACEN" "Sierra Nevada NW" "A" 15 "Grt" "Truncation"
"58" "MULHACEN" "Sierra Nevada NW" "A" 78 "Grt" "Truncation"
"59" "MULHACEN" "Sierra Nevada NW" "A" 14 "Grt" "core/simple"
"60" "MULHACEN" "Sierra Nevada NW" "A" 107 "Grt" "core/simple"
"61" "MULHACEN" "Sierra Nevada NW" "A" 14 "Grt" "Truncation"
"62" "MULHACEN" "Sierra Nevada NW" "A" 93 "Grt" "core/simple"
"63" "MULHACEN" "Sierra Nevada NW" "A" 122 "Grt" "Truncation"
"64" "MULHACEN" "Sierra Nevada NW" "A" 106 "Grt" "core/simple"
"65" "MULHACEN" "Sierra Nevada NW" "A" 108 "Grt" "Truncation"
"66" "MULHACEN" "Sierra Nevada NW" "A" 99 "Grt" "core/simple"
"67" "MULHACEN" "Sierra Nevada NW" "A" 111 "Grt" "core/simple"
"68" "MULHACEN" "Sierra Nevada NW" "A" 100 "Grt" "core/simple"
"69" "MULHACEN" "Sierra Nevada NW" "A" 5 "Grt" "core/simple"
"70" "MULHACEN" "Sierra Nevada NW" "A" 8 "Grt" "core/simple"
"71" "MULHACEN" "Sierra Nevada NW" "A" 108 "Grt" "core/simple"
"72" "MULHACEN" "Sierra Nevada NW" "A" 178 "Grt" "core/simple"
"73" "MULHACEN" "Sierra Nevada NW" "A" 12 "Grt" "core/simple"
"74" "MULHACEN" "Sierra Nevada NW" "A" 162 "Grt" "core/simple"
"75" "MULHACEN" "Sierra Nevada NW" "A" 156 "Grt" "core/simple"
"76" "MULHACEN" "Sierra Nevada NW" "A" 179 "Grt" "core/simple"
"77" "MULHACEN" "Sierra Nevada NW" "A" 158 "Grt" "core/simple"
"78" "MULHACEN" "Sierra Nevada NW" "A" 69 "Grt" "core/simple"
"79" "MULHACEN" "Sierra Nevada NW" "A" 159 "Grt" "core/simple"
"80" "MULHACEN" "Sierra Nevada NW" "A" 175 "Grt" "core/simple"
"81" "MULHACEN" "Sierra Nevada NW" "A" 21 "Grt" "core/simple"
"82" "MULHACEN" "Sierra Nevada NW" "A" 179 "Grt" "core/simple"
"83" "MULHACEN" "Sierra Nevada NW" "A" 119 "Grt" "core/simple"
"84" "MULHACEN" "Sierra Nevada NW" "A" 108 "Grt" "core/simple"
"85" "MULHACEN" "Sierra Nevada NW" "A" 166 "Grt" "core/simple"
"86" "MULHACEN" "Sierra Nevada NW" "A" 178 "Grt" "core/simple"
"87" "MULHACEN" "Sierra Nevada NW" "A" 115 "Grt" "core/simple"
"88" "MULHACEN" "Sierra Nevada NW" "A" 108 "Grt" "core/simple"
"89" "MULHACEN" "Sierra Nevada NW" "A" 159 "Grt" "core/simple"
"90" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "core/simple"
"91" "MULHACEN" "Sierra Nevada NW" "A" 100 "Grt" "core/simple"
"92" "MULHACEN" "Sierra Nevada NW" "A" 148 "Grt" "core/simple"
"93" "MULHACEN" "Sierra Nevada NW" "A" 49 "Grt" "core/simple"
"94" "MULHACEN" "Sierra Nevada NW" "A" 124 "Grt" "core/simple"
"95" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "core/simple"
"96" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "core/simple"
"97" "MULHACEN" "Sierra Nevada NW" "A" 160 "Grt" "core/simple"
"98" "MULHACEN" "Sierra Nevada NW" "A" 115 "Grt" "core/simple"
"99" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "core/simple"
"100" "MULHACEN" "Sierra Nevada NW" "A" 154 "Grt" "core/simple"
"101" "MULHACEN" "Sierra Nevada NW" "A" 122 "Grt" "core/simple"
"102" "MULHACEN" "Sierra Nevada NW" "A" 91 "Grt" "core/simple"
"103" "MULHACEN" "Sierra Nevada NW" "A" 94 "Grt" "core/simple"
"104" "MULHACEN" "Sierra Nevada NW" "A" 145 "Grt" "core/simple"
"105" "MULHACEN" "Sierra Nevada NW" "A" 177 "Grt" "core/simple"
"106" "MULHACEN" "Sierra Nevada NW" "A" 174 "Grt" "core/simple"
"107" "MULHACEN" "Sierra Nevada NW" "A" 84 "Grt" "core/simple"
"108" "MULHACEN" "Sierra Nevada NW" "A" 67 "Grt" "core/simple"
"109" "MULHACEN" "Sierra Nevada NW" "A" 83 "Grt" "core/simple"
"110" "MULHACEN" "Sierra Nevada NW" "A" 25 "Grt" "core/simple"
"111" "MULHACEN" "Sierra Nevada NW" "A" 95 "Grt" "core/simple"
"112" "MULHACEN" "Sierra Nevada NW" "A" 94 "Grt" "core/simple"
"113" "MULHACEN" "Sierra Nevada NW" "A" 105 "Grt" "core/simple"
"114" "MULHACEN" "Sierra Nevada NW" "A" 8 "Grt" "core/simple"
"115" "MULHACEN" "Sierra Nevada NW" "A" 137 "Grt" "core/simple"
"116" "MULHACEN" "Sierra Nevada NW" "A" 149 "Grt" "core/simple"
"117" "MULHACEN" "Sierra Nevada NW" "A" 178 "Grt" "core/simple"
"118" "MULHACEN" "Sierra Nevada NW" "A" 84 "Grt" "core/simple"
"119" "MULHACEN" "Sierra Nevada NW" "A" 46 "Grt" "core/simple"
"120" "MULHACEN" "Sierra Nevada NW" "A" 176 "Grt" "core/simple"
"121" "MULHACEN" "Sierra Nevada NW" "A" 171 "Grt" "core/simple"
"122" "MULHACEN" "Sierra Nevada NW" "A" 102 "Grt" "core/simple"
"123" "MULHACEN" "Sierra Nevada NW" "A" 93 "Grt" "core/simple"
"124" "MULHACEN" "Sierra Nevada NW" "A" 136 "Grt" "core/simple"
"125" "MULHACEN" "Sierra Nevada NW" "A" 54 "Grt" "core/simple"
"126" "MULHACEN" "Sierra Nevada NW" "A" 75 "Grt" "core/simple"
"127" "MULHACEN" "Sierra Nevada NW" "A" 1 "Grt" "core/simple"
"128" "MULHACEN" "Sierra Nevada NW" "A" 170 "Grt" "core/simple"
"129" "MULHACEN" "Sierra Nevada NW" "A" 144 "Grt" "core/simple"
"130" "MULHACEN" "Sierra Nevada NW" "A" 63 "Grt" "core/simple"
"131" "MULHACEN" "Sierra Nevada NW" "A" 174 "Grt" "core/simple"
"132" "MULHACEN" "Sierra Nevada NW" "A" 86 "Grt" "core/simple"
"133" "MULHACEN" "Sierra Nevada NW" "A" 109 "Grt" "core/simple"
"134" "MULHACEN" "Sierra Nevada NW" "A" 113 "Grt" "core/simple"
"135" "MULHACEN" "Sierra Nevada NW" "A" 11 "Grt" "core/simple"
"136" "MULHACEN" "Sierra Nevada NW" "A" 111 "Grt" "core/simple"
"137" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "core/simple"
"138" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "core/simple"
"139" "MULHACEN" "Sierra Nevada NW" "A" 117 "Grt" "core/simple"
"140" "MULHACEN" "Sierra Nevada NW" "A" 47 "Grt" "core/simple"
"141" "MULHACEN" "Sierra Nevada NW" "A" 51 "Grt" "core/simple"
"142" "MULHACEN" "Sierra Nevada NW" "A" 15 "Grt" "core/simple"
"143" "MULHACEN" "Sierra Nevada NW" "A" 18 "Grt" "core/simple"
"144" "MULHACEN" "Sierra Nevada NW" "A" 171 "Grt" "core/simple"
"145" "MULHACEN" "Sierra Nevada NW" "A" 175 "Grt" "core/simple"
"146" "MULHACEN" "Sierra Nevada NW" "A" 85 "Grt" "core/simple"
"147" "MULHACEN" "Sierra Nevada NW" "A" 20 "Grt" "core/simple"
"148" "MULHACEN" "Sierra Nevada NW" "A" 33 "Grt" "core/simple"
"149" "MULHACEN" "Sierra Nevada NW" "A" 145 "Grt" "core/simple"
"150" "MULHACEN" "Sierra Nevada NW" "A" 127 "Grt" "core/simple"
"151" "MULHACEN" "Sierra Nevada NW" "A" 123 "Grt" "core/simple"
"152" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "core/simple"
"153" "MULHACEN" "Sierra Nevada NW" "A" 75 "Grt" "core/simple"
"154" "MULHACEN" "Sierra Nevada NW" "A" 160 "Grt" "core/simple"
"155" "MULHACEN" "Sierra Nevada NW" "A" 161 "Grt" "core/simple"
"156" "MULHACEN" "Sierra Nevada NW" "A" 164 "Grt" "core/simple"
"157" "MULHACEN" "Sierra Nevada NW" "A" 175 "Grt" "core/simple"
"158" "MULHACEN" "Sierra Nevada NW" "A" 83 "Grt" "core/simple"
"159" "MULHACEN" "Sierra Nevada NW" "A" 107 "Grt" "core/simple"
"160" "MULHACEN" "Sierra Nevada NW" "A" 101 "Grt" "core/simple"
"161" "MULHACEN" "Sierra Nevada NW" "A" 77 "Grt" "core/simple"
"162" "MULHACEN" "Sierra Nevada NW" "A" 35 "Grt" "core/simple"
"163" "MULHACEN" "Sierra Nevada NW" "A" 27 "Grt" "core/simple"
"164" "MULHACEN" "Sierra Nevada NW" "A" 57 "Grt" "core/simple"
"165" "MULHACEN" "Sierra Nevada NW" "A" 92 "Grt" "core/simple"
"166" "MULHACEN" "Sierra Nevada NW" "A" 64 "Grt" "core/simple"
"167" "MULHACEN" "Sierra Nevada NW" "A" 66 "Grt" "core/simple"
"168" "MULHACEN" "Sierra Nevada NW" "A" 64 "Grt" "core/simple"
"169" "MULHACEN" "Sierra Nevada NW" "A" 98 "Grt" "core/simple"
"170" "MULHACEN" "Sierra Nevada NW" "A" 64 "Grt" "core/simple"
"171" "MULHACEN" "Sierra Nevada NW" "A" 54 "Grt" "core/simple"
"172" "MULHACEN" "Sierra Nevada NW" "A" 173 "Grt" "core/simple"
"173" "MULHACEN" "Sierra Nevada NW" "A" 33 "Grt" "core/simple"
"174" "MULHACEN" "Sierra Nevada NW" "A" 53 "Grt" "core/simple"
"175" "MULHACEN" "Sierra Nevada NW" "A" 68 "Grt" "core/simple"
"176" "MULHACEN" "Sierra Nevada NW" "A" 141 "Grt" "core/simple"
"177" "MULHACEN" "Sierra Nevada NW" "A" 48 "Grt" "core/simple"
"178" "MULHACEN" "Sierra Nevada NW" "A" 34 "Grt" "core/simple"
"179" "MULHACEN" "Sierra Nevada NW" "A" 152 "Grt" "core/simple"
"180" "MULHACEN" "Sierra Nevada NW" "A" 50 "Grt" "core/simple"
"181" "MULHACEN" "Sierra Nevada NW" "A" 62 "Grt" "core/simple"
"182" "MULHACEN" "Sierra Nevada NW" "A" 167 "Grt" "core/simple"
"183" "MULHACEN" "Sierra Nevada NW" "A" 92 "Grt" "core/simple"
"184" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "core/simple"
"185" "MULHACEN" "Sierra Nevada NW" "A" 80 "Grt" "core/simple"
"186" "MULHACEN" "Sierra Nevada NW" "A" 150 "Grt" "core/simple"
"187" "MULHACEN" "Sierra Nevada NW" "A" 110 "Grt" "core/simple"
"188" "MULHACEN" "Sierra Nevada NW" "A" 100 "Grt" "core/simple"
"189" "MULHACEN" "Sierra Nevada NW" "A" 114 "Grt" "Truncation"
"190" "MULHACEN" "Sierra Nevada NW" "A" 5 "Grt" "Truncation"
"191" "MULHACEN" "Sierra Nevada NW" "A" 106 "Grt" "Truncation"
"192" "MULHACEN" "Sierra Nevada NW" "A" 167 "Grt" "Truncation"
"193" "MULHACEN" "Sierra Nevada NW" "A" 4 "Grt" "Truncation"
"194" "MULHACEN" "Sierra Nevada NW" "A" 77 "Grt" "core/simple"
"195" "MULHACEN" "Sierra Nevada NW" "A" 8 "Grt" "core/simple"
"196" "MULHACEN" "Sierra Nevada NW" "A" 42 "Grt" "core/simple"
"197" "MULHACEN" "Sierra Nevada NW" "A" 111 "Grt" "core/simple"
"198" "MULHACEN" "Sierra Nevada NW" "A" 8 "Grt" "core/simple"
"199" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "core/simple"
"200" "MULHACEN" "Sierra Nevada NW" "A" 24 "Grt" "core/simple"
"201" "MULHACEN" "Sierra Nevada NW" "A" 120 "Grt" "Truncation"
"202" "MULHACEN" "Sierra Nevada NW" "A" 13 "Grt" "Truncation"
"203" "MULHACEN" "Sierra Nevada NW" "A" 38 "Grt" "Truncation"
"204" "MULHACEN" "Sierra Nevada NW" "A" 76 "Grt" "Truncation"
"205" "MULHACEN" "Sierra Nevada NW" "A" 80 "Grt" "Truncation"
"206" "MULHACEN" "Sierra Nevada NW" "A" 177 "Grt" "Truncation"
"207" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "Truncation"
"208" "MULHACEN" "Sierra Nevada NW" "A" 120 "Grt" "Truncation"
"209" "MULHACEN" "Sierra Nevada NW" "A" 113 "Grt" "Truncation"
"210" "MULHACEN" "Sierra Nevada NW" "A" 150 "GT" "core/simple"
"211" "MULHACEN" "Sierra Nevada NW" "A" 125 "GT" "core/simple"
"212" "MULHACEN" "Sierra Nevada NW" "A" 109 "GT" "core/simple"
"213" "MULHACEN" "Sierra Nevada NW" "A" 36 "CTD" "core/simple"
"214" "MULHACEN" "Sierra Nevada NW" "A" 45 "CTD" "core/simple"
"215" "MULHACEN" "Sierra Nevada NW" "A" 68 "CTD" "core/simple"
"216" "MULHACEN" "Sierra Nevada NW" "A" 79 "CTD" "core/simple"
"217" "MULHACEN" "Sierra Nevada NW" "A" 63 "GT" "core/simple"
"218" "MULHACEN" "Sierra Nevada NW" "A" 30 "CTD" "core/simple"
"219" "MULHACEN" "Sierra Nevada NW" "A" 85 "CTD" "core/simple"
"220" "MULHACEN" "Sierra Nevada NW" "A" 82 "CTD" "core/simple"
"221" "MULHACEN" "Sierra Nevada NW" "A" 1 "GT" "Truncation"
"222" "MULHACEN" "Sierra Nevada NW" "A" 147 "GT" "Truncation"
"223" "MULHACEN" "Sierra Nevada NW" "A" 90 "GT" "core/simple"
"224" "MULHACEN" "Sierra Nevada NW" "A" 97 "GT" "core/simple"
"225" "MULHACEN" "Sierra Nevada NW" "A" 118 "GT" "core/simple"
"226" "MULHACEN" "Sierra Nevada NW" "A" 177 "CTD" "Truncation"
"227" "MULHACEN" "Sierra Nevada NW" "A" 92 "CTD" "core/simple"
"228" "MULHACEN" "Sierra Nevada NW" "A" 78 "CTD" "core/simple"
"229" "MULHACEN" "Sierra Nevada NW" "A" 16 "Grt" "Axial plane"
"230" "MULHACEN" "Sierra Nevada NW" "A" 95 "Grt" "core/simple"
"231" "MULHACEN" "Sierra Nevada NW" "A" 47 "Grt" "core/simple"
"232" "MULHACEN" "Sierra Nevada NW" "A" 50 "Stau" "core/simple"
"233" "MULHACEN" "Sierra Nevada NW" "A" 74 "Grt" "Truncation"
"234" "MULHACEN" "Sierra Nevada NW" "A" 137 "Grt" "core/simple"
"235" "MULHACEN" "Sierra Nevada NW" "A" 15 "Grt" "Truncation"
"236" "MULHACEN" "Sierra Nevada NW" "A" 104 "Grt" "core/simple"
"237" "MULHACEN" "Sierra Nevada NW" "A" 74 "Grt" "core/simple"
"238" "MULHACEN" "Sierra Nevada NW" "A" 148 "Grt" "Truncation"
"239" "MULHACEN" "Sierra Nevada NW" "A" 17 "Grt" "core/simple"
"240" "MULHACEN" "Sierra Nevada NW" "A" 140 "Grt" "Truncation"
"241" "MULHACEN" "Sierra Nevada NW" "A" 12 "Grt" "core/simple"
"242" "MULHACEN" "Sierra Nevada NW" "A" 107 "Grt" "Truncation"
"243" "MULHACEN" "Sierra Nevada NW" "A" 8 "Grt" "core/simple"
"244" "MULHACEN" "Sierra Nevada NW" "A" 140 "Grt" "core/simple"
"245" "MULHACEN" "Sierra Nevada NW" "A" 149 "Grt" "core/simple"
"246" "MULHACEN" "Sierra Nevada NW" "A" 105 "Grt" "core/simple"
"247" "MULHACEN" "Sierra Nevada NW" "A" 44 "Grt" "Truncation"
"248" "MULHACEN" "Sierra Nevada NW" "A" 142 "Grt" "core/simple"
"249" "MULHACEN" "Sierra Nevada NW" "A" 108 "Grt" "Truncation"
"250" "MULHACEN" "Sierra Nevada NW" "A" 165 "Grt" "Truncation"
"251" "MULHACEN" "Sierra Nevada NW" "A" 99 "Grt" "Truncation"
"252" "MULHACEN" "Sierra Nevada NW" "A" 165 "Grt" "Truncation"
"253" "MULHACEN" "Sierra Nevada NW" "A" 165 "Grt" "Truncation"
"254" "MULHACEN" "Sierra Nevada NW" "A" 75 "Grt" "core/simple"
"255" "MULHACEN" "Sierra Nevada NW" "A" 101 "Grt" "core/simple"
"256" "MULHACEN" "Sierra Nevada NW" "A" 174 "Grt" "core/simple"
"257" "MULHACEN" "Sierra Nevada NW" "A" 172 "Grt" "Truncation"
"258" "MULHACEN" "Sierra Nevada NW" "A" 56 "Grt" "core/simple"
"259" "MULHACEN" "Sierra Nevada NW" "A" 167 "Grt" "Truncation"
"260" "MULHACEN" "Sierra Nevada NW" "A" 15 "Grt" "Truncation"
"261" "MULHACEN" "Sierra Nevada NW" "A" 115 "Grt" "Truncation"
"262" "MULHACEN" "Sierra Nevada NW" "A" 150 "Grt" "core/simple"
"263" "MULHACEN" "Sierra Nevada NW" "A" 56 "Grt" "core/simple"
"264" "MULHACEN" "Sierra Nevada NW" "A" 62 "Grt" "core/simple"
"265" "MULHACEN" "Sierra Nevada NW" "A" 140 "Grt" "Truncation"
"266" "MULHACEN" "Sierra Nevada NW" "A" 72 "Grt" "core/simple"
"267" "MULHACEN" "Sierra Nevada NW" "A" 47 "Grt" "core/simple"
"268" "MULHACEN" "Sierra Nevada NW" "A" 65 "Grt" "Truncation"
"269" "MULHACEN" "Sierra Nevada NW" "A" 50 "Grt" "Truncation"
"270" "MULHACEN" "Sierra Nevada NW" "A" 142 "Grt" "Truncation"
"271" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "Truncation"
"272" "MULHACEN" "Sierra Nevada NW" "A" 146 "Grt" "Truncation"
"273" "MULHACEN" "Sierra Nevada NW" "A" 53 "Grt" "Truncation"
"274" "MULHACEN" "Sierra Nevada NW" "A" 119 "Grt" "core/simple"
"275" "MULHACEN" "Sierra Nevada NW" "A" 99 "Grt" "Truncation"
"276" "MULHACEN" "Sierra Nevada NW" "A" 170 "Grt" "core/simple"
"277" "MULHACEN" "Sierra Nevada NW" "A" 73 "Grt" "core/simple"
"278" "MULHACEN" "Sierra Nevada NW" "A" 38 "Grt" "Truncation"
"279" "MULHACEN" "Sierra Nevada NW" "A" 9 "Plag" "core/simple"
"280" "MULHACEN" "Sierra Nevada NW" "B" 177 "Grt" "core/simple"
"281" "MULHACEN" "Sierra Nevada NW" "B" 55 "Grt" "core/simple"
"282" "MULHACEN" "Sierra Nevada NW" "B" 145 "Grt" "core/simple"
"283" "MULHACEN" "Sierra Nevada NW" "B" 56 "Grt" "core/simple"
"284" "MULHACEN" "Sierra Nevada NW" "B" 54 "Grt" "core/simple"
"285" "MULHACEN" "Sierra Nevada NW" "B" 154 "Grt" "core/simple"
"286" "MULHACEN" "Sierra Nevada NW" "B" 156 "Grt" "core/simple"
"287" "MULHACEN" "Sierra Nevada NW" "B" 127 "Grt" "core/simple"
"288" "MULHACEN" "Sierra Nevada NW" "B" 56 "Grt" "core/simple"
"289" "MULHACEN" "Sierra Nevada NW" "B" 150 "Grt" "core/simple"
"290" "MULHACEN" "Sierra Nevada NW" "B" 37 "Grt" "core/simple"
"291" "MULHACEN" "Sierra Nevada NW" "B" 118 "Grt" "core/simple"
"292" "MULHACEN" "Sierra Nevada NW" "B" 146 "Grt" "core/simple"
"293" "MULHACEN" "Sierra Nevada NW" "B" 164 "Grt" "core/simple"
"294" "MULHACEN" "Sierra Nevada NW" "B" 57 "Grt" "core/simple"
"295" "MULHACEN" "Sierra Nevada NW" "B" 50 "Grt" "core/simple"
"296" "MULHACEN" "Sierra Nevada NW" "B" 123 "Grt" "core/simple"
"297" "MULHACEN" "Sierra Nevada NW" "B" 56 "Grt" "core/simple"
"298" "MULHACEN" "Sierra Nevada NW" "B" 61 "Grt" "core/simple"
"299" "MULHACEN" "Sierra Nevada NW" "B" 21 "Grt" "core/simple"
"300" "MULHACEN" "Sierra Nevada NW" "B" 68 "Grt" "core/simple"
"301" "MULHACEN" "Sierra Nevada NW" "B" 154 "Grt" "core/simple"
"302" "MULHACEN" "Sierra Nevada NW" "B" 93 "Grt" "core/simple"
"303" "MULHACEN" "Sierra Nevada NW" "B" 73 "Grt" "core/simple"
"304" "MULHACEN" "Sierra Nevada NW" "B" 143 "Grt" "core/simple"
"305" "MULHACEN" "Sierra Nevada NW" "B" 150 "Grt" "core/simple"
"306" "MULHACEN" "Sierra Nevada NW" "B" 45 "Grt" "core/simple"
"307" "MULHACEN" "Sierra Nevada NW" "B" 41 "Grt" "core/simple"
"308" "MULHACEN" "Sierra Nevada NW" "B" 40 "Grt" "core/simple"
"309" "MULHACEN" "Sierra Nevada NW" "B" 157 "Grt" "Truncation"
"310" "MULHACEN" "Sierra Nevada NW" "B" 61 "Grt" "core/simple"
"311" "MULHACEN" "Sierra Nevada NW" "B" 35 "Grt" "core/simple"
"312" "MULHACEN" "Sierra Nevada NW" "B" 122 "Grt" "core/simple"
"313" "MULHACEN" "Sierra Nevada NW" "B" 120 "Grt" "core/simple"
"314" "MULHACEN" "Sierra Nevada NW" "B" 150 "Grt" "core/simple"
"315" "MULHACEN" "Sierra Nevada NW" "B" 10 "Grt" "core/simple"
"316" "MULHACEN" "Sierra Nevada NW" "B" 75 "Grt" "core/simple"
"317" "MULHACEN" "Sierra Nevada NW" "B" 67 "Grt" "core/simple"
"318" "MULHACEN" "Sierra Nevada NW" "B" 52 "Grt" "core/simple"
"319" "MULHACEN" "Sierra Nevada NW" "B" 157 "Grt" "Truncation"
"320" "MULHACEN" "Sierra Nevada NW" "B" 68 "Grt" "core/simple"
"321" "MULHACEN" "Sierra Nevada NW" "B" 58 "Grt" "core/simple"
"322" "MULHACEN" "Sierra Nevada NW" "B" 30 "Grt" "Truncation"
"323" "MULHACEN" "Sierra Nevada NW" "B" 110 "Grt" "core/simple"
"324" "MULHACEN" "Sierra Nevada NW" "B" 133 "Grt" "Truncation"
"325" "MULHACEN" "Sierra Nevada NW" "B" 123 "Grt" "Truncation"
"326" "MULHACEN" "Sierra Nevada NW" "B" 12 "Grt" "Truncation"
"327" "MULHACEN" "Sierra Nevada NW" "B" 135 "Grt" "Truncation"
"328" "MULHACEN" "Sierra Nevada NW" "B" 30 "Grt" "core/simple"
"329" "MULHACEN" "Sierra Nevada NW" "B" 154 "Grt" "Truncation"
"330" "MULHACEN" "Sierra Nevada NW" "B" 43 "Grt" "core/simple"
"331" "MULHACEN" "Sierra Nevada NW" "B" 8 "Grt" "core/simple"
"332" "MULHACEN" "Sierra Nevada NW" "B" 146 "Grt" "Truncation"
"333" "MULHACEN" "Sierra Nevada NW" "B" 105 "Grt" "core/simple"
"334" "MULHACEN" "Sierra Nevada NW" "B" 133 "Grt" "Truncation"
"335" "MULHACEN" "Sierra Nevada NW" "B" 43 "Grt" "core/simple"
"336" "MULHACEN" "Sierra Nevada NW" "B" 71 "Grt" "core/simple"
"337" "MULHACEN" "Sierra Nevada NW" "B" 157 "Grt" "Axial plane"
"338" "MULHACEN" "Sierra Nevada NW" "B" 143 "Grt" "core/simple"
"339" "MULHACEN" "Sierra Nevada NW" "B" 150 "Grt" "core/simple"
